,train_accuracy,test_accuracy
svm_with_autoencoding,0.9985,0.72
lda_with_autoencoding,0.986,0.711
linear_probe_with_no_reduction,1.0,0.697
svm_with_no_reduction,0.9865,0.6645
naive_bayes_with_autoencoding,0.9095,0.6595
random_forest_with_autoencoding,1.0,0.6535
linear_probe_with_autoencoding,1.0,0.6525
qda_with_autoencoding,0.9995,0.638
knn5_with_autoencoding,0.9185,0.615
random_forest_with_no_reduction,1.0,0.6105
lda_with_no_reduction,1.0,0.608
knn3_with_autoencoding,0.9265,0.6055
knn1_with_no_reduction,1.0,0.604
knn1_with_autoencoding,1.0,0.5935
knn3_with_no_reduction,0.8845,0.5895
decision_tree_with_autoencoding,1.0,0.5855
knn5_with_no_reduction,0.857,0.5755
decision_tree_with_no_reduction,1.0,0.5745
naive_bayes_with_no_reduction,0.9115,0.557
knn5_with_pca,0.889,0.535
knn1_with_pca,1.0,0.532
knn3_with_pca,0.9105,0.524
svm_with_pca,0.9995,0.499
linear_probe_with_pca,1.0,0.4965
qda_with_pca,1.0,0.4955
lda_with_pca,0.9995,0.491
qda_with_no_reduction,1.0,0.489
random_forest_with_pca,1.0,0.4725
decision_tree_with_pca,1.0,0.467
naive_bayes_with_pca,0.771,0.34
