,train_accuracy,test_accuracy
naive_bayes_with_pca,0.728,0.6095
svm_with_no_reduction,0.998,0.5835
linear_probe_with_no_reduction,1.0,0.5675
linear_probe_with_autoencoding,1.0,0.54825
knn5_with_no_reduction,0.906,0.54225
random_forest_with_no_reduction,1.0,0.5405
decision_tree_with_no_reduction,1.0,0.53775
knn3_with_no_reduction,0.9305,0.5375
lda_with_no_reduction,1.0,0.5285
knn1_with_no_reduction,1.0,0.5255
lda_with_autoencoding,0.9835,0.51225
naive_bayes_with_no_reduction,0.921,0.51
random_forest_with_pca,1.0,0.4905
qda_with_no_reduction,0.9995,0.48575
decision_tree_with_pca,1.0,0.48375
qda_with_pca,1.0,0.48225
knn5_with_pca,0.871,0.48025
knn3_with_pca,0.911,0.47325
random_forest_with_autoencoding,1.0,0.47275
knn1_with_pca,1.0,0.4695
qda_with_autoencoding,0.999,0.4685
svm_with_autoencoding,0.999,0.46825
decision_tree_with_autoencoding,1.0,0.463
svm_with_pca,0.9995,0.46125
lda_with_pca,1.0,0.44125
linear_probe_with_pca,1.0,0.437
naive_bayes_with_autoencoding,0.894,0.43525
knn1_with_autoencoding,1.0,0.38
knn3_with_autoencoding,0.9295,0.37825
knn5_with_autoencoding,0.903,0.37
