,train_accuracy,test_accuracy
svm_with_autoencoding,0.995,0.965
lda_with_autoencoding,0.9825,0.96
linear_probe_with_autoencoding,1.0,0.955
svm_with_no_reduction,0.99125,0.9475
naive_bayes_with_no_reduction,0.945625,0.9425
random_forest_with_autoencoding,1.0,0.94
random_forest_with_no_reduction,1.0,0.935
qda_with_autoencoding,0.993125,0.93
linear_probe_with_no_reduction,1.0,0.9175
knn3_with_autoencoding,0.941875,0.895
knn5_with_autoencoding,0.93,0.895
naive_bayes_with_autoencoding,0.929375,0.895
knn1_with_autoencoding,1.0,0.8625
lda_with_no_reduction,1.0,0.8575
knn3_with_no_reduction,0.919375,0.85
decision_tree_with_autoencoding,1.0,0.8475
knn5_with_no_reduction,0.881875,0.8275
knn1_with_no_reduction,1.0,0.81
decision_tree_with_no_reduction,1.0,0.78
qda_with_no_reduction,1.0,0.55
naive_bayes_with_pca,0.91125,0.49
qda_with_pca,1.0,0.47
knn5_with_pca,0.9025,0.45
knn3_with_pca,0.9325,0.4375
knn1_with_pca,1.0,0.435
svm_with_pca,1.0,0.2775
decision_tree_with_pca,1.0,0.2675
linear_probe_with_pca,1.0,0.265
lda_with_pca,0.995625,0.2425
random_forest_with_pca,1.0,0.2225
