,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.99
svm_with_no_reduction,0.998125,0.99
linear_probe_with_autoencoding,1.0,0.9575
lda_with_autoencoding,0.9875,0.9525
lda_with_no_reduction,1.0,0.95
svm_with_autoencoding,0.998125,0.9475
random_forest_with_no_reduction,1.0,0.945
qda_with_autoencoding,0.998125,0.925
random_forest_with_autoencoding,1.0,0.895
knn3_with_no_reduction,0.929375,0.895
knn5_with_no_reduction,0.90125,0.875
knn1_with_no_reduction,1.0,0.8725
naive_bayes_with_no_reduction,0.935625,0.8675
knn3_with_autoencoding,0.933125,0.8475
knn1_with_autoencoding,1.0,0.835
knn5_with_autoencoding,0.91375,0.8275
naive_bayes_with_autoencoding,0.90375,0.81
decision_tree_with_no_reduction,1.0,0.7825
decision_tree_with_autoencoding,1.0,0.72
qda_with_no_reduction,1.0,0.54
decision_tree_with_pca,1.0,0.515
knn3_with_pca,0.90625,0.5075
knn1_with_pca,1.0,0.5025
naive_bayes_with_pca,0.731875,0.5
random_forest_with_pca,1.0,0.4975
qda_with_pca,1.0,0.4975
knn5_with_pca,0.869375,0.4975
svm_with_pca,1.0,0.475
lda_with_pca,0.996875,0.4575
linear_probe_with_pca,1.0,0.455
