,train_accuracy,test_accuracy
svm_with_autoencoding,0.99625,0.9775
lda_with_autoencoding,0.99125,0.97
linear_probe_with_autoencoding,1.0,0.9625
lda_with_no_reduction,0.999375,0.95
qda_with_autoencoding,0.999375,0.945
svm_with_no_reduction,0.985,0.9175
random_forest_with_no_reduction,1.0,0.9075
linear_probe_with_no_reduction,1.0,0.9025
random_forest_with_autoencoding,1.0,0.9025
naive_bayes_with_no_reduction,0.91125,0.8675
naive_bayes_with_autoencoding,0.899375,0.8675
knn5_with_autoencoding,0.915,0.815
knn1_with_autoencoding,1.0,0.805
knn3_with_autoencoding,0.925625,0.805
knn5_with_no_reduction,0.85125,0.7625
knn3_with_no_reduction,0.88625,0.75
decision_tree_with_autoencoding,1.0,0.725
decision_tree_with_no_reduction,1.0,0.71
knn1_with_no_reduction,1.0,0.6975
qda_with_pca,1.0,0.5275
qda_with_no_reduction,1.0,0.505
naive_bayes_with_pca,0.780625,0.495
decision_tree_with_pca,1.0,0.4725
knn5_with_pca,0.913125,0.4725
knn1_with_pca,1.0,0.4625
knn3_with_pca,0.9275,0.4575
random_forest_with_pca,1.0,0.4525
lda_with_pca,0.9975,0.4525
svm_with_pca,0.99875,0.4475
linear_probe_with_pca,1.0,0.43
