,train_accuracy,test_accuracy
naive_bayes_with_pca,0.889,0.656
lda_with_autoencoding,0.991,0.59675
svm_with_autoencoding,0.999,0.581
svm_with_no_reduction,1.0,0.5775
random_forest_with_no_reduction,1.0,0.577
linear_probe_with_autoencoding,1.0,0.57025
linear_probe_with_no_reduction,1.0,0.56925
qda_with_autoencoding,1.0,0.56
knn3_with_no_reduction,0.942,0.5485
knn5_with_no_reduction,0.9365,0.54575
knn1_with_no_reduction,1.0,0.5455
naive_bayes_with_autoencoding,0.938,0.54225
random_forest_with_pca,1.0,0.53825
random_forest_with_autoencoding,1.0,0.5365
decision_tree_with_no_reduction,1.0,0.5315
lda_with_no_reduction,1.0,0.53075
knn5_with_autoencoding,0.9445,0.52475
qda_with_no_reduction,1.0,0.5245
knn1_with_autoencoding,1.0,0.524
lda_with_pca,1.0,0.5195
linear_probe_with_pca,1.0,0.5155
svm_with_pca,1.0,0.51525
knn1_with_pca,1.0,0.51325
decision_tree_with_pca,1.0,0.5085
knn3_with_autoencoding,0.9495,0.5075
decision_tree_with_autoencoding,1.0,0.507
knn3_with_pca,0.9275,0.50475
qda_with_pca,1.0,0.50025
knn5_with_pca,0.922,0.5
naive_bayes_with_no_reduction,0.9245,0.489
