,train_accuracy,test_accuracy
lda_with_no_reduction,0.9965625,0.93125
svm_with_autoencoding,0.9753125,0.91625
linear_probe_with_no_reduction,1.0,0.91125
linear_probe_with_autoencoding,0.9059375,0.89
lda_with_autoencoding,0.9,0.885
svm_with_no_reduction,0.97875,0.8725
naive_bayes_with_no_reduction,0.874375,0.86
random_forest_with_no_reduction,1.0,0.8575
random_forest_with_autoencoding,1.0,0.855
qda_with_autoencoding,0.9475,0.81875
naive_bayes_with_autoencoding,0.7940625,0.7925
qda_with_no_reduction,1.0,0.7
knn1_with_autoencoding,1.0,0.685
decision_tree_with_autoencoding,1.0,0.68
decision_tree_with_no_reduction,1.0,0.66
knn5_with_autoencoding,0.776875,0.66
knn1_with_no_reduction,1.0,0.65625
knn3_with_autoencoding,0.8215625,0.65625
knn3_with_no_reduction,0.781875,0.6275
knn5_with_no_reduction,0.733125,0.6
qda_with_pca,0.9990625,0.5225
naive_bayes_with_pca,0.7503125,0.5
random_forest_with_pca,1.0,0.4925
svm_with_pca,0.9978125,0.49
lda_with_pca,0.9809375,0.485
knn1_with_pca,1.0,0.4825
linear_probe_with_pca,1.0,0.48125
decision_tree_with_pca,1.0,0.4725
knn3_with_pca,0.7878125,0.4675
knn5_with_pca,0.7434375,0.46625
