,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.7895
lda_with_autoencoding,0.9815,0.7805
random_forest_with_pca,1.0,0.7615
naive_bayes_with_pca,0.917,0.757
lda_with_no_reduction,1.0,0.756
svm_with_pca,0.999,0.7535
svm_with_autoencoding,0.9945,0.741
linear_probe_with_pca,1.0,0.7185
decision_tree_with_pca,1.0,0.7155
lda_with_pca,0.9975,0.704
linear_probe_with_no_reduction,1.0,0.697
random_forest_with_no_reduction,1.0,0.666
naive_bayes_with_no_reduction,0.9445,0.6485
random_forest_with_autoencoding,1.0,0.633
decision_tree_with_no_reduction,1.0,0.627
svm_with_no_reduction,0.991,0.626
qda_with_autoencoding,0.9895,0.622
decision_tree_with_autoencoding,1.0,0.6035
knn1_with_pca,1.0,0.599
knn1_with_autoencoding,1.0,0.5975
knn3_with_pca,0.9295,0.594
knn5_with_pca,0.902,0.5915
knn3_with_autoencoding,0.9425,0.585
knn5_with_autoencoding,0.927,0.583
naive_bayes_with_autoencoding,0.907,0.559
knn1_with_no_reduction,1.0,0.546
knn5_with_no_reduction,0.888,0.541
knn3_with_no_reduction,0.912,0.5375
qda_with_pca,1.0,0.537
qda_with_no_reduction,1.0,0.496
