,train_accuracy,test_accuracy
svm_with_autoencoding,0.977,0.684
lda_with_autoencoding,0.89675,0.6815
lda_with_no_reduction,0.9925,0.68
linear_probe_with_autoencoding,0.90125,0.678
random_forest_with_no_reduction,1.0,0.672
naive_bayes_with_no_reduction,0.86925,0.637
linear_probe_with_no_reduction,1.0,0.624
random_forest_with_autoencoding,1.0,0.6145
knn5_with_autoencoding,0.7725,0.597
naive_bayes_with_autoencoding,0.77225,0.596
knn3_with_autoencoding,0.823,0.5865
knn5_with_no_reduction,0.73275,0.5845
knn3_with_no_reduction,0.7845,0.578
knn1_with_no_reduction,1.0,0.572
naive_bayes_with_pca,0.75775,0.5715
svm_with_no_reduction,0.98275,0.564
qda_with_autoencoding,0.9455,0.5635
knn1_with_autoencoding,1.0,0.5625
decision_tree_with_no_reduction,1.0,0.5605
knn1_with_pca,1.0,0.549
knn3_with_pca,0.79125,0.549
random_forest_with_pca,1.0,0.5455
decision_tree_with_pca,1.0,0.5395
knn5_with_pca,0.734,0.539
decision_tree_with_autoencoding,1.0,0.537
svm_with_pca,0.99825,0.523
lda_with_pca,0.976,0.5105
linear_probe_with_pca,1.0,0.5055
qda_with_pca,0.9985,0.5045
qda_with_no_reduction,1.0,0.5
