,train_accuracy,test_accuracy
lda_with_autoencoding,0.9785,0.819
svm_with_autoencoding,0.9975,0.818
qda_with_autoencoding,0.9965,0.79
linear_probe_with_autoencoding,1.0,0.783
random_forest_with_pca,1.0,0.769
knn5_with_autoencoding,0.9275,0.765
knn3_with_autoencoding,0.9275,0.761
random_forest_with_autoencoding,1.0,0.744
svm_with_pca,0.9995,0.741
naive_bayes_with_pca,0.802,0.728
knn1_with_autoencoding,1.0,0.711
lda_with_no_reduction,1.0,0.708
lda_with_pca,0.998,0.697
linear_probe_with_no_reduction,1.0,0.6945
linear_probe_with_pca,1.0,0.689
random_forest_with_no_reduction,1.0,0.685
knn5_with_pca,0.901,0.679
naive_bayes_with_autoencoding,0.9175,0.678
knn3_with_pca,0.9215,0.6775
svm_with_no_reduction,0.9905,0.675
decision_tree_with_pca,1.0,0.672
knn1_with_pca,1.0,0.6675
decision_tree_with_autoencoding,1.0,0.6515
decision_tree_with_no_reduction,1.0,0.647
knn1_with_no_reduction,1.0,0.609
naive_bayes_with_no_reduction,0.9375,0.6055
knn3_with_no_reduction,0.8835,0.6005
knn5_with_no_reduction,0.8605,0.572
qda_with_pca,1.0,0.5515
qda_with_no_reduction,1.0,0.543
