,train_accuracy,test_accuracy
lda_with_no_reduction,0.9925,0.683
random_forest_with_no_reduction,1.0,0.6205
linear_probe_with_no_reduction,1.0,0.599
lda_with_autoencoding,0.895,0.597
linear_probe_with_autoencoding,0.9055,0.595
knn3_with_pca,0.7905,0.5705
knn1_with_pca,1.0,0.567
naive_bayes_with_no_reduction,0.86925,0.565
knn5_with_pca,0.735,0.561
svm_with_autoencoding,0.978,0.557
decision_tree_with_no_reduction,1.0,0.5465
knn5_with_autoencoding,0.773,0.5385
random_forest_with_autoencoding,1.0,0.5335
naive_bayes_with_pca,0.76175,0.5315
knn3_with_autoencoding,0.81925,0.525
decision_tree_with_pca,1.0,0.523
svm_with_no_reduction,0.98275,0.5155
knn1_with_autoencoding,1.0,0.509
svm_with_pca,0.998,0.5085
qda_with_pca,0.99825,0.5075
random_forest_with_pca,1.0,0.505
decision_tree_with_autoencoding,1.0,0.5
knn1_with_no_reduction,1.0,0.499
knn5_with_no_reduction,0.73275,0.497
qda_with_no_reduction,1.0,0.4955
qda_with_autoencoding,0.945,0.493
lda_with_pca,0.97475,0.489
linear_probe_with_pca,1.0,0.484
knn3_with_no_reduction,0.7845,0.48
naive_bayes_with_autoencoding,0.77125,0.437
