,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.54025
svm_with_no_reduction,0.9865,0.5295
qda_with_pca,1.0,0.51675
knn1_with_no_reduction,1.0,0.5165
knn5_with_no_reduction,0.857,0.515
decision_tree_with_autoencoding,1.0,0.51325
knn3_with_no_reduction,0.8845,0.51175
knn1_with_autoencoding,1.0,0.51
knn3_with_autoencoding,0.9295,0.50875
qda_with_no_reduction,1.0,0.50425
knn5_with_pca,0.889,0.50325
knn5_with_autoencoding,0.914,0.503
lda_with_no_reduction,1.0,0.50125
knn1_with_pca,1.0,0.50025
decision_tree_with_pca,1.0,0.497
lda_with_autoencoding,0.993,0.49675
knn3_with_pca,0.912,0.495
random_forest_with_pca,1.0,0.49075
svm_with_autoencoding,0.9995,0.49025
random_forest_with_no_reduction,1.0,0.48975
decision_tree_with_no_reduction,1.0,0.48925
qda_with_autoencoding,1.0,0.48925
linear_probe_with_autoencoding,1.0,0.484
random_forest_with_autoencoding,1.0,0.48225
linear_probe_with_pca,1.0,0.4795
naive_bayes_with_autoencoding,0.9165,0.47825
svm_with_pca,0.9995,0.47775
lda_with_pca,0.9995,0.47625
naive_bayes_with_no_reduction,0.9115,0.4655
naive_bayes_with_pca,0.769,0.36025
