,train_accuracy,test_accuracy
svm_with_no_reduction,0.98675,0.694
knn1_with_no_reduction,1.0,0.6825
linear_probe_with_no_reduction,1.0,0.6785
knn3_with_no_reduction,0.8115,0.671
knn5_with_no_reduction,0.7515,0.6555
linear_probe_with_autoencoding,0.88275,0.648
lda_with_autoencoding,0.8815,0.636
lda_with_no_reduction,1.0,0.628
svm_with_autoencoding,0.9955,0.603
random_forest_with_autoencoding,1.0,0.585
random_forest_with_no_reduction,1.0,0.578
knn5_with_autoencoding,0.82175,0.571
decision_tree_with_no_reduction,1.0,0.56
knn3_with_autoencoding,0.8565,0.556
knn1_with_autoencoding,1.0,0.5535
qda_with_autoencoding,0.98,0.548
naive_bayes_with_autoencoding,0.7885,0.5365
decision_tree_with_autoencoding,1.0,0.5235
knn5_with_pca,0.74475,0.5235
naive_bayes_with_pca,0.77475,0.52
decision_tree_with_pca,1.0,0.518
naive_bayes_with_no_reduction,0.7645,0.5165
knn3_with_pca,0.79425,0.5155
knn1_with_pca,1.0,0.5135
linear_probe_with_pca,1.0,0.5075
lda_with_pca,0.994,0.506
svm_with_pca,0.99925,0.503
random_forest_with_pca,1.0,0.5025
qda_with_pca,1.0,0.5
qda_with_no_reduction,1.0,0.499
