,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.96
svm_with_no_reduction,0.9871875,0.96
svm_with_autoencoding,0.9946875,0.9425
random_forest_with_no_reduction,1.0,0.895
qda_with_autoencoding,0.989375,0.88875
random_forest_with_autoencoding,1.0,0.85625
lda_with_autoencoding,0.8784375,0.85375
linear_probe_with_autoencoding,0.883125,0.8475
lda_with_no_reduction,1.0,0.81625
knn5_with_autoencoding,0.845,0.7925
knn3_with_autoencoding,0.8671875,0.7775
knn1_with_autoencoding,1.0,0.76375
naive_bayes_with_autoencoding,0.7665625,0.7325
naive_bayes_with_no_reduction,0.764375,0.73
decision_tree_with_no_reduction,1.0,0.7025
knn1_with_no_reduction,1.0,0.69875
knn3_with_no_reduction,0.8075,0.6625
knn5_with_no_reduction,0.750625,0.66
naive_bayes_with_pca,0.751875,0.6575
decision_tree_with_autoencoding,1.0,0.5925
knn5_with_pca,0.7603125,0.55625
qda_with_no_reduction,1.0,0.54625
knn3_with_pca,0.804375,0.5425
random_forest_with_pca,1.0,0.53125
knn1_with_pca,1.0,0.52875
svm_with_pca,0.9990625,0.51
decision_tree_with_pca,1.0,0.5025
qda_with_pca,1.0,0.50125
lda_with_pca,0.9871875,0.49625
linear_probe_with_pca,1.0,0.4875
