,train_accuracy,test_accuracy
lda_with_no_reduction,0.98125,0.9375
linear_probe_with_no_reduction,1.0,0.92125
svm_with_autoencoding,0.9821875,0.914375
svm_with_no_reduction,0.9771875,0.881875
lda_with_autoencoding,0.89484375,0.88125
linear_probe_with_autoencoding,0.89921875,0.88
random_forest_with_no_reduction,1.0,0.865625
random_forest_with_autoencoding,1.0,0.83875
qda_with_autoencoding,0.93875,0.826875
qda_with_no_reduction,0.9996875,0.82125
naive_bayes_with_no_reduction,0.80921875,0.820625
naive_bayes_with_autoencoding,0.7696875,0.766875
knn1_with_autoencoding,1.0,0.74125
knn5_with_autoencoding,0.80796875,0.7175
knn3_with_autoencoding,0.85203125,0.715625
decision_tree_with_no_reduction,1.0,0.68625
knn1_with_no_reduction,1.0,0.684375
knn3_with_no_reduction,0.82234375,0.68125
knn5_with_no_reduction,0.77390625,0.661875
decision_tree_with_autoencoding,1.0,0.66
naive_bayes_with_pca,0.71375,0.59875
qda_with_pca,0.9959375,0.54875
random_forest_with_pca,1.0,0.538125
knn1_with_pca,1.0,0.498125
decision_tree_with_pca,1.0,0.493125
knn5_with_pca,0.78125,0.48
knn3_with_pca,0.82875,0.474375
svm_with_pca,0.9965625,0.46625
lda_with_pca,0.95984375,0.445625
linear_probe_with_pca,0.99953125,0.439375
