,train_accuracy,test_accuracy
svm_with_no_reduction,0.9875,0.98
linear_probe_with_no_reduction,0.999375,0.975
lda_with_no_reduction,0.995625,0.97
svm_with_autoencoding,0.99,0.9675
lda_with_autoencoding,0.96,0.965
qda_with_autoencoding,0.97625,0.96
linear_probe_with_autoencoding,0.975,0.945
random_forest_with_autoencoding,1.0,0.9425
bagging_classifier_with_autoencoding,1.0,0.9425
gradient_boosting_with_autoencoding,0.99875,0.9425
random_forest_with_no_reduction,1.0,0.9375
gradient_boosting_with_no_reduction,1.0,0.935
qda_with_no_reduction,1.0,0.9175
naive_bayes_with_no_reduction,0.91875,0.9125
bagging_classifier_with_no_reduction,1.0,0.9075
knn3_with_no_reduction,0.933125,0.905
knn5_with_no_reduction,0.909375,0.9
knn3_with_autoencoding,0.945625,0.89
knn1_with_autoencoding,1.0,0.885
knn5_with_autoencoding,0.924375,0.885
naive_bayes_with_autoencoding,0.886875,0.875
knn1_with_no_reduction,1.0,0.855
decision_tree_with_autoencoding,1.0,0.85
decision_tree_with_no_reduction,1.0,0.7875
random_forest_with_pca,1.0,0.775
gradient_boosting_with_pca,0.999375,0.7375
bagging_classifier_with_pca,1.0,0.7225
knn5_with_pca,0.905,0.7
svm_with_pca,0.998125,0.6975
knn3_with_pca,0.92625,0.6925
decision_tree_with_pca,1.0,0.68
lda_with_pca,0.984375,0.68
linear_probe_with_pca,1.0,0.67
knn1_with_pca,1.0,0.655
qda_with_pca,0.99875,0.605
naive_bayes_with_pca,0.90125,0.59
