,train_accuracy,test_accuracy
svm_with_no_reduction,0.989375,0.9675
linear_probe_with_no_reduction,0.998125,0.96
gradient_boosting_with_no_reduction,1.0,0.945
svm_with_autoencoding,0.98625,0.9425
lda_with_autoencoding,0.95625,0.9325
gradient_boosting_with_autoencoding,0.996875,0.9075
qda_with_autoencoding,0.995625,0.9075
random_forest_with_no_reduction,1.0,0.8975
bagging_classifier_with_autoencoding,1.0,0.8975
linear_probe_with_autoencoding,1.0,0.895
random_forest_with_autoencoding,1.0,0.89
naive_bayes_with_autoencoding,0.899375,0.89
naive_bayes_with_no_reduction,0.8975,0.89
knn5_with_autoencoding,0.918125,0.885
bagging_classifier_with_no_reduction,1.0,0.88
knn3_with_no_reduction,0.904375,0.855
knn3_with_autoencoding,0.931875,0.8475
knn5_with_no_reduction,0.886875,0.84
knn1_with_no_reduction,1.0,0.8375
knn1_with_autoencoding,1.0,0.8325
decision_tree_with_no_reduction,1.0,0.825
lda_with_no_reduction,1.0,0.8225
gradient_boosting_with_pca,0.996875,0.8075
decision_tree_with_autoencoding,1.0,0.805
bagging_classifier_with_pca,1.0,0.79
svm_with_pca,0.9875,0.76
random_forest_with_pca,1.0,0.7525
linear_probe_with_pca,1.0,0.7275
lda_with_pca,0.9625,0.7025
knn1_with_pca,1.0,0.6775
knn5_with_pca,0.89875,0.67
knn3_with_pca,0.908125,0.665
decision_tree_with_pca,1.0,0.6425
naive_bayes_with_pca,0.705,0.59
qda_with_pca,0.990625,0.54
qda_with_no_reduction,1.0,0.525
