,train_accuracy,test_accuracy
svm_with_no_reduction,0.9925,0.975
linear_probe_with_no_reduction,0.999375,0.965
gradient_boosting_with_no_reduction,1.0,0.9525
svm_with_autoencoding,0.98625,0.9525
lda_with_autoencoding,0.965625,0.9475
qda_with_autoencoding,0.995625,0.9375
linear_probe_with_autoencoding,1.0,0.9225
naive_bayes_with_autoencoding,0.8975,0.9175
naive_bayes_with_no_reduction,0.91,0.915
random_forest_with_autoencoding,1.0,0.9075
random_forest_with_no_reduction,1.0,0.9025
gradient_boosting_with_autoencoding,0.994375,0.9
bagging_classifier_with_no_reduction,1.0,0.89
knn5_with_autoencoding,0.911875,0.885
knn3_with_autoencoding,0.928125,0.86
bagging_classifier_with_autoencoding,1.0,0.8575
knn3_with_no_reduction,0.904375,0.8525
knn5_with_no_reduction,0.866875,0.85
knn1_with_no_reduction,1.0,0.8425
lda_with_no_reduction,1.0,0.83
knn1_with_autoencoding,1.0,0.805
decision_tree_with_no_reduction,1.0,0.8
gradient_boosting_with_pca,0.995625,0.78
decision_tree_with_autoencoding,1.0,0.775
bagging_classifier_with_pca,0.999375,0.765
svm_with_pca,0.993125,0.7525
random_forest_with_pca,1.0,0.7425
lda_with_pca,0.975,0.685
linear_probe_with_pca,1.0,0.675
decision_tree_with_pca,1.0,0.6575
knn5_with_pca,0.888125,0.6575
knn1_with_pca,1.0,0.65
knn3_with_pca,0.9125,0.65
naive_bayes_with_pca,0.700625,0.5775
qda_with_no_reduction,1.0,0.535
qda_with_pca,0.989375,0.5325
