,train_accuracy,test_accuracy
svm_with_no_reduction,0.983125,0.98
linear_probe_with_no_reduction,1.0,0.975
lda_with_autoencoding,0.9625,0.9675
lda_with_no_reduction,0.995625,0.965
linear_probe_with_autoencoding,0.970625,0.9625
svm_with_autoencoding,0.98875,0.96
random_forest_with_no_reduction,1.0,0.955
gradient_boosting_with_autoencoding,0.99875,0.955
gradient_boosting_with_no_reduction,1.0,0.9475
qda_with_autoencoding,0.976875,0.9475
random_forest_with_autoencoding,1.0,0.94
naive_bayes_with_no_reduction,0.93,0.9275
bagging_classifier_with_autoencoding,1.0,0.92
bagging_classifier_with_no_reduction,1.0,0.9175
naive_bayes_with_autoencoding,0.905625,0.9175
knn5_with_no_reduction,0.911875,0.9025
qda_with_no_reduction,1.0,0.9
knn5_with_autoencoding,0.9225,0.895
knn1_with_autoencoding,1.0,0.8825
knn3_with_autoencoding,0.944375,0.8825
knn1_with_no_reduction,1.0,0.8775
knn3_with_no_reduction,0.929375,0.8775
decision_tree_with_autoencoding,1.0,0.8525
random_forest_with_pca,1.0,0.8225
decision_tree_with_no_reduction,1.0,0.815
gradient_boosting_with_pca,0.99875,0.8025
bagging_classifier_with_pca,1.0,0.8
decision_tree_with_pca,1.0,0.755
svm_with_pca,0.999375,0.7425
lda_with_pca,0.983125,0.7225
linear_probe_with_pca,1.0,0.72
knn3_with_pca,0.926875,0.71
knn5_with_pca,0.905625,0.7075
knn1_with_pca,1.0,0.6975
qda_with_pca,1.0,0.6675
naive_bayes_with_pca,0.90375,0.6175
