,train_accuracy,test_accuracy
svm_with_no_reduction,0.98375,0.9525
lda_with_autoencoding,0.94125,0.9375
svm_with_autoencoding,0.979375,0.925
qda_with_autoencoding,0.989375,0.905
linear_probe_with_autoencoding,0.971875,0.9025
linear_probe_with_no_reduction,1.0,0.8975
gradient_boosting_with_no_reduction,1.0,0.8975
random_forest_with_autoencoding,1.0,0.8925
naive_bayes_with_no_reduction,0.89375,0.8875
gradient_boosting_with_autoencoding,0.99375,0.8825
lda_with_no_reduction,0.99125,0.8775
random_forest_with_no_reduction,1.0,0.875
naive_bayes_with_autoencoding,0.86,0.8725
bagging_classifier_with_pca,1.0,0.8675
knn3_with_autoencoding,0.90125,0.865
knn1_with_autoencoding,1.0,0.86
bagging_classifier_with_no_reduction,1.0,0.8575
knn5_with_autoencoding,0.879375,0.855
bagging_classifier_with_autoencoding,1.0,0.845
random_forest_with_pca,1.0,0.8425
gradient_boosting_with_pca,0.9925,0.84
knn5_with_no_reduction,0.8675,0.8375
knn1_with_no_reduction,1.0,0.8275
knn3_with_no_reduction,0.899375,0.8275
svm_with_pca,0.98875,0.79
decision_tree_with_pca,1.0,0.7675
naive_bayes_with_pca,0.855625,0.7675
decision_tree_with_autoencoding,1.0,0.765
lda_with_pca,0.960625,0.7475
linear_probe_with_pca,1.0,0.7325
decision_tree_with_no_reduction,1.0,0.7175
knn1_with_pca,1.0,0.6475
knn5_with_pca,0.871875,0.6425
qda_with_no_reduction,1.0,0.6375
knn3_with_pca,0.90125,0.625
qda_with_pca,0.99625,0.5225
