,train_accuracy,test_accuracy
svm_with_no_reduction,0.98625,0.9475
svm_with_autoencoding,0.97875,0.93
lda_with_autoencoding,0.941875,0.93
gradient_boosting_with_autoencoding,0.995,0.9225
linear_probe_with_no_reduction,1.0,0.91
linear_probe_with_autoencoding,0.978125,0.9075
bagging_classifier_with_autoencoding,1.0,0.895
random_forest_with_autoencoding,1.0,0.8925
naive_bayes_with_no_reduction,0.894375,0.89
gradient_boosting_with_no_reduction,1.0,0.8875
qda_with_autoencoding,0.990625,0.8825
knn3_with_autoencoding,0.910625,0.8825
random_forest_with_no_reduction,1.0,0.8775
lda_with_no_reduction,0.99625,0.8775
knn5_with_autoencoding,0.894375,0.875
naive_bayes_with_autoencoding,0.87125,0.8725
bagging_classifier_with_no_reduction,0.999375,0.8675
bagging_classifier_with_pca,1.0,0.865
gradient_boosting_with_pca,0.993125,0.86
random_forest_with_pca,1.0,0.8575
knn1_with_autoencoding,1.0,0.855
knn5_with_no_reduction,0.87875,0.8425
knn1_with_no_reduction,1.0,0.83
knn3_with_no_reduction,0.89875,0.83
decision_tree_with_autoencoding,1.0,0.825
svm_with_pca,0.98875,0.8025
naive_bayes_with_pca,0.85375,0.7875
lda_with_pca,0.96625,0.7725
decision_tree_with_pca,1.0,0.75
decision_tree_with_no_reduction,1.0,0.745
linear_probe_with_pca,1.0,0.7425
qda_with_no_reduction,1.0,0.7
knn3_with_pca,0.9025,0.64
knn5_with_pca,0.870625,0.6175
knn1_with_pca,1.0,0.6125
qda_with_pca,0.99625,0.51
