,train_accuracy,test_accuracy
lda_with_no_reduction,0.9459375,0.855
svm_with_no_reduction,0.9815625,0.85375
linear_probe_with_no_reduction,0.9990625,0.825
svm_with_autoencoding,0.9484375,0.8125
naive_bayes_with_no_reduction,0.8034375,0.76
linear_probe_with_autoencoding,0.8134375,0.7575
random_forest_with_autoencoding,1.0,0.74875
lda_with_autoencoding,0.8115625,0.745
random_forest_with_no_reduction,1.0,0.7425
qda_with_no_reduction,0.9996875,0.7325
bagging_classifier_with_autoencoding,1.0,0.72625
gradient_boosting_with_autoencoding,0.925625,0.72375
gradient_boosting_with_no_reduction,0.9725,0.71875
bagging_classifier_with_no_reduction,1.0,0.705
qda_with_autoencoding,0.926875,0.7025
naive_bayes_with_autoencoding,0.7253125,0.6775
knn1_with_no_reduction,1.0,0.66875
knn1_with_autoencoding,1.0,0.665
knn3_with_autoencoding,0.8,0.61
knn3_with_no_reduction,0.7775,0.60375
knn5_with_autoencoding,0.7471875,0.6025
decision_tree_with_autoencoding,1.0,0.59625
knn5_with_no_reduction,0.7175,0.5875
bagging_classifier_with_pca,1.0,0.57
decision_tree_with_no_reduction,1.0,0.56875
random_forest_with_pca,1.0,0.565
naive_bayes_with_pca,0.710625,0.56375
decision_tree_with_pca,1.0,0.55625
qda_with_pca,0.965,0.55625
gradient_boosting_with_pca,0.9578125,0.55625
svm_with_pca,0.98125,0.54625
knn1_with_pca,1.0,0.54125
knn3_with_pca,0.7890625,0.53
knn5_with_pca,0.731875,0.525
linear_probe_with_pca,0.8775,0.5225
lda_with_pca,0.8725,0.51875
