,train_accuracy,test_accuracy
lda_with_no_reduction,0.9446875,0.855
svm_with_no_reduction,0.9803125,0.85375
linear_probe_with_no_reduction,0.99875,0.82
svm_with_autoencoding,0.9521875,0.80125
linear_probe_with_autoencoding,0.80375,0.77875
lda_with_autoencoding,0.8025,0.7725
naive_bayes_with_no_reduction,0.8025,0.75875
random_forest_with_autoencoding,1.0,0.74875
qda_with_no_reduction,0.9996875,0.73625
gradient_boosting_with_no_reduction,0.968125,0.735
random_forest_with_no_reduction,1.0,0.7275
bagging_classifier_with_no_reduction,1.0,0.715
bagging_classifier_with_autoencoding,1.0,0.70375
gradient_boosting_with_autoencoding,0.9128125,0.7025
qda_with_autoencoding,0.9259375,0.67625
naive_bayes_with_autoencoding,0.7175,0.6725
knn1_with_autoencoding,1.0,0.67
knn1_with_no_reduction,1.0,0.66
knn3_with_autoencoding,0.809375,0.62875
knn5_with_autoencoding,0.741875,0.60875
decision_tree_with_autoencoding,1.0,0.6075
knn3_with_no_reduction,0.775,0.60125
decision_tree_with_no_reduction,1.0,0.5875
knn5_with_no_reduction,0.7228125,0.57875
random_forest_with_pca,1.0,0.5725
naive_bayes_with_pca,0.7090625,0.56375
qda_with_pca,0.9671875,0.55875
gradient_boosting_with_pca,0.95125,0.54875
knn5_with_pca,0.736875,0.525
decision_tree_with_pca,1.0,0.52375
svm_with_pca,0.98125,0.5225
knn3_with_pca,0.7940625,0.51875
bagging_classifier_with_pca,1.0,0.51625
linear_probe_with_pca,0.883125,0.51375
lda_with_pca,0.873125,0.5125
knn1_with_pca,1.0,0.5075
