,train_accuracy,test_accuracy
lda_with_no_reduction,0.9940625,0.9875
svm_with_no_reduction,0.9909375,0.985
linear_probe_with_no_reduction,0.9984375,0.9825
svm_with_autoencoding,0.9896875,0.955
linear_probe_with_autoencoding,0.9496875,0.93375
lda_with_autoencoding,0.9465625,0.92875
gradient_boosting_with_no_reduction,0.994375,0.90875
random_forest_with_no_reduction,1.0,0.9075
random_forest_with_autoencoding,1.0,0.90625
gradient_boosting_with_autoencoding,0.9759375,0.8925
naive_bayes_with_no_reduction,0.9209375,0.8825
qda_with_autoencoding,0.9509375,0.8775
qda_with_no_reduction,0.9978125,0.86875
bagging_classifier_with_autoencoding,1.0,0.86625
bagging_classifier_with_no_reduction,1.0,0.86125
naive_bayes_with_autoencoding,0.8315625,0.80875
decision_tree_with_autoencoding,1.0,0.75875
decision_tree_with_no_reduction,1.0,0.75125
knn1_with_autoencoding,1.0,0.72625
knn5_with_autoencoding,0.821875,0.7225
knn3_with_autoencoding,0.85875,0.72125
knn1_with_no_reduction,1.0,0.71
knn3_with_no_reduction,0.839375,0.7025
knn5_with_no_reduction,0.8003125,0.7
naive_bayes_with_pca,0.728125,0.675
qda_with_pca,0.9878125,0.63625
random_forest_with_pca,1.0,0.61125
bagging_classifier_with_pca,1.0,0.56875
decision_tree_with_pca,1.0,0.5625
gradient_boosting_with_pca,0.9815625,0.56
svm_with_pca,0.9990625,0.55875
linear_probe_with_pca,1.0,0.52875
lda_with_pca,0.985625,0.52625
knn1_with_pca,1.0,0.50875
knn3_with_pca,0.83375,0.50875
knn5_with_pca,0.7953125,0.50125
