,train_accuracy,test_accuracy
lda_with_no_reduction,0.915625,0.84125
svm_with_no_reduction,0.9709375,0.835
linear_probe_with_no_reduction,0.953125,0.82
svm_with_autoencoding,0.94875,0.7775
qda_with_no_reduction,1.0,0.7375
lda_with_autoencoding,0.785,0.73625
linear_probe_with_autoencoding,0.7890625,0.7325
gradient_boosting_with_no_reduction,0.9553125,0.72625
naive_bayes_with_no_reduction,0.775,0.72
random_forest_with_no_reduction,1.0,0.71625
random_forest_with_autoencoding,1.0,0.7075
bagging_classifier_with_no_reduction,1.0,0.7025
bagging_classifier_with_autoencoding,1.0,0.7
gradient_boosting_with_autoencoding,0.913125,0.6975
qda_with_autoencoding,0.935,0.6725
knn1_with_autoencoding,1.0,0.6625
naive_bayes_with_autoencoding,0.710625,0.66125
knn1_with_no_reduction,1.0,0.6575
knn3_with_autoencoding,0.8021875,0.62625
decision_tree_with_autoencoding,1.0,0.61375
decision_tree_with_no_reduction,1.0,0.61
knn3_with_no_reduction,0.77,0.59875
knn5_with_autoencoding,0.7353125,0.59625
knn5_with_no_reduction,0.7225,0.57875
random_forest_with_pca,1.0,0.56375
naive_bayes_with_pca,0.72125,0.56125
qda_with_pca,0.968125,0.54875
knn5_with_pca,0.7340625,0.54625
bagging_classifier_with_pca,1.0,0.545
knn3_with_pca,0.7884375,0.53
knn1_with_pca,1.0,0.5225
gradient_boosting_with_pca,0.9484375,0.5225
svm_with_pca,0.97375,0.51125
decision_tree_with_pca,1.0,0.505
lda_with_pca,0.8446875,0.495
linear_probe_with_pca,0.8515625,0.48625
