,train_accuracy,test_accuracy
linear_probe_with_no_reduction,0.9596875,0.9675
svm_with_no_reduction,0.935,0.9575
lda_with_no_reduction,0.944375,0.95375
gradient_boosting_with_no_reduction,0.97,0.88
svm_with_autoencoding,0.9459375,0.875
linear_probe_with_autoencoding,0.83,0.8625
lda_with_autoencoding,0.8271875,0.855
random_forest_with_no_reduction,1.0,0.84375
qda_with_no_reduction,0.986875,0.8325
random_forest_with_autoencoding,1.0,0.82
bagging_classifier_with_no_reduction,1.0,0.815
naive_bayes_with_no_reduction,0.7734375,0.81
gradient_boosting_with_autoencoding,0.9196875,0.805
bagging_classifier_with_autoencoding,1.0,0.795
qda_with_autoencoding,0.8871875,0.77625
naive_bayes_with_autoencoding,0.685,0.69875
knn1_with_no_reduction,1.0,0.68875
knn5_with_no_reduction,0.731875,0.68875
knn1_with_autoencoding,1.0,0.68375
decision_tree_with_no_reduction,1.0,0.67375
knn3_with_no_reduction,0.79375,0.66875
knn3_with_autoencoding,0.819375,0.66375
decision_tree_with_autoencoding,1.0,0.6575
knn5_with_autoencoding,0.7771875,0.6575
naive_bayes_with_pca,0.67375,0.64125
qda_with_pca,0.968125,0.5975
random_forest_with_pca,1.0,0.575
svm_with_pca,0.9865625,0.56125
gradient_boosting_with_pca,0.9621875,0.56125
bagging_classifier_with_pca,1.0,0.55
knn3_with_pca,0.791875,0.5475
knn1_with_pca,1.0,0.54
lda_with_pca,0.91,0.525
linear_probe_with_pca,0.9275,0.52375
knn5_with_pca,0.7440625,0.5225
decision_tree_with_pca,1.0,0.50875
