,train_accuracy,test_accuracy
svm_with_no_reduction,0.996875,0.93875
linear_probe_with_no_reduction,0.999375,0.9325
svm_with_autoencoding,0.9884375,0.9125
gradient_boosting_with_no_reduction,0.99375,0.9
random_forest_with_no_reduction,1.0,0.89625
lda_with_autoencoding,0.9315625,0.88125
linear_probe_with_autoencoding,0.94625,0.88
qda_with_autoencoding,0.984375,0.87375
bagging_classifier_with_no_reduction,1.0,0.86625
gradient_boosting_with_autoencoding,0.969375,0.8575
lda_with_no_reduction,1.0,0.85625
random_forest_with_autoencoding,1.0,0.84625
bagging_classifier_with_autoencoding,1.0,0.83875
naive_bayes_with_no_reduction,0.84125,0.8275
naive_bayes_with_autoencoding,0.829375,0.77375
naive_bayes_with_pca,0.7359375,0.7175
decision_tree_with_no_reduction,1.0,0.715
knn1_with_autoencoding,1.0,0.69125
decision_tree_with_autoencoding,1.0,0.66875
knn1_with_no_reduction,1.0,0.65375
knn3_with_autoencoding,0.8009375,0.65375
knn5_with_autoencoding,0.74875,0.6475
knn3_with_no_reduction,0.72625,0.605
random_forest_with_pca,1.0,0.585
knn5_with_no_reduction,0.645,0.585
svm_with_pca,0.9946875,0.5475
qda_with_pca,0.985,0.54
knn1_with_pca,1.0,0.5175
knn5_with_pca,0.7175,0.51625
bagging_classifier_with_pca,1.0,0.51375
gradient_boosting_with_pca,0.97,0.5075
knn3_with_pca,0.785,0.5075
qda_with_no_reduction,1.0,0.505
lda_with_pca,0.9678125,0.48
linear_probe_with_pca,0.9978125,0.4625
decision_tree_with_pca,1.0,0.46
