,train_accuracy,test_accuracy
svm_with_no_reduction,0.984375,0.93875
linear_probe_with_no_reduction,0.996875,0.92
svm_with_autoencoding,0.9778125,0.8975
gradient_boosting_with_no_reduction,0.9834375,0.895
qda_with_autoencoding,0.9778125,0.8675
random_forest_with_no_reduction,1.0,0.8625
lda_with_autoencoding,0.8809375,0.8625
linear_probe_with_autoencoding,0.889375,0.86
bagging_classifier_with_no_reduction,1.0,0.855
random_forest_with_autoencoding,1.0,0.835
gradient_boosting_with_autoencoding,0.9490625,0.8325
lda_with_no_reduction,0.998125,0.83
bagging_classifier_with_autoencoding,1.0,0.82625
naive_bayes_with_no_reduction,0.7903125,0.815
naive_bayes_with_autoencoding,0.773125,0.7725
naive_bayes_with_pca,0.705,0.73125
knn1_with_autoencoding,1.0,0.69625
knn5_with_autoencoding,0.7490625,0.67375
decision_tree_with_no_reduction,1.0,0.67
knn3_with_autoencoding,0.8075,0.665
knn1_with_no_reduction,1.0,0.66125
decision_tree_with_autoencoding,1.0,0.63125
random_forest_with_pca,1.0,0.6275
knn5_with_no_reduction,0.670625,0.62
knn3_with_no_reduction,0.7390625,0.61625
gradient_boosting_with_pca,0.955625,0.58
bagging_classifier_with_pca,1.0,0.57125
qda_with_pca,0.975625,0.56625
svm_with_pca,0.9834375,0.55
qda_with_no_reduction,1.0,0.5275
knn3_with_pca,0.7853125,0.5225
knn5_with_pca,0.7234375,0.52
knn1_with_pca,1.0,0.5075
linear_probe_with_pca,0.9521875,0.50125
lda_with_pca,0.9253125,0.5
decision_tree_with_pca,1.0,0.49375
