,train_accuracy,test_accuracy
svm_with_no_reduction,0.984375,0.93625
linear_probe_with_no_reduction,0.995625,0.9275
svm_with_autoencoding,0.975,0.89875
gradient_boosting_with_no_reduction,0.981875,0.89
lda_with_autoencoding,0.88,0.87
qda_with_autoencoding,0.971875,0.8575
linear_probe_with_autoencoding,0.88625,0.8575
random_forest_with_no_reduction,1.0,0.855
bagging_classifier_with_no_reduction,1.0,0.8475
gradient_boosting_with_autoencoding,0.939375,0.8425
lda_with_no_reduction,0.9984375,0.84125
random_forest_with_autoencoding,1.0,0.83375
naive_bayes_with_no_reduction,0.784375,0.815
bagging_classifier_with_autoencoding,1.0,0.80625
naive_bayes_with_autoencoding,0.77,0.77125
naive_bayes_with_pca,0.7075,0.70875
decision_tree_with_autoencoding,1.0,0.7075
knn1_with_autoencoding,1.0,0.69875
knn5_with_autoencoding,0.7378125,0.6775
knn1_with_no_reduction,1.0,0.67625
knn3_with_autoencoding,0.7953125,0.67125
decision_tree_with_no_reduction,1.0,0.64875
knn3_with_no_reduction,0.735625,0.62625
knn5_with_no_reduction,0.6634375,0.61375
random_forest_with_pca,1.0,0.605
bagging_classifier_with_pca,1.0,0.56
qda_with_pca,0.975625,0.53875
knn3_with_pca,0.7871875,0.535
knn1_with_pca,1.0,0.53375
knn5_with_pca,0.7271875,0.5275
decision_tree_with_pca,1.0,0.5225
svm_with_pca,0.9809375,0.51875
gradient_boosting_with_pca,0.95625,0.515
qda_with_no_reduction,1.0,0.51375
lda_with_pca,0.9178125,0.45125
linear_probe_with_pca,0.938125,0.45
