,train_accuracy,test_accuracy
lda_with_no_reduction,0.9965625,0.98875
svm_with_no_reduction,0.994375,0.98625
linear_probe_with_no_reduction,0.999375,0.985
svm_with_autoencoding,0.9890625,0.9475
gradient_boosting_with_no_reduction,0.9965625,0.92125
linear_probe_with_autoencoding,0.9525,0.92
random_forest_with_no_reduction,1.0,0.90875
lda_with_autoencoding,0.9425,0.90875
naive_bayes_with_no_reduction,0.92375,0.885
gradient_boosting_with_autoencoding,0.9715625,0.875
qda_with_no_reduction,0.9975,0.8725
random_forest_with_autoencoding,1.0,0.87125
qda_with_autoencoding,0.949375,0.85875
bagging_classifier_with_no_reduction,1.0,0.8375
bagging_classifier_with_autoencoding,1.0,0.8375
naive_bayes_with_autoencoding,0.823125,0.7825
decision_tree_with_autoencoding,1.0,0.74
decision_tree_with_no_reduction,1.0,0.735
knn1_with_autoencoding,1.0,0.72375
knn5_with_autoencoding,0.8134375,0.715
knn1_with_no_reduction,1.0,0.70875
knn3_with_autoencoding,0.84875,0.70875
naive_bayes_with_pca,0.7334375,0.6975
knn3_with_no_reduction,0.8384375,0.69375
knn5_with_no_reduction,0.8003125,0.685
random_forest_with_pca,1.0,0.63125
qda_with_pca,0.9896875,0.625
svm_with_pca,0.9996875,0.6
bagging_classifier_with_pca,1.0,0.5875
gradient_boosting_with_pca,0.9840625,0.5875
lda_with_pca,0.9903125,0.5675
linear_probe_with_pca,1.0,0.5575
decision_tree_with_pca,1.0,0.545
knn1_with_pca,1.0,0.50875
knn5_with_pca,0.79625,0.49375
knn3_with_pca,0.8353125,0.4875
