,train_accuracy,test_accuracy
svm_with_no_reduction,0.9775,0.9125
svm_with_autoencoding,0.975,0.9075
linear_probe_with_no_reduction,1.0,0.905
lda_with_autoencoding,0.92625,0.9025
gradient_boosting_with_no_reduction,0.99875,0.875
random_forest_with_autoencoding,1.0,0.8725
lda_with_no_reduction,0.993125,0.87
gradient_boosting_with_autoencoding,0.986875,0.87
linear_probe_with_autoencoding,0.95,0.8675
random_forest_with_no_reduction,1.0,0.865
bagging_classifier_with_autoencoding,1.0,0.8425
naive_bayes_with_no_reduction,0.851875,0.8275
bagging_classifier_with_no_reduction,1.0,0.82
qda_with_autoencoding,0.993125,0.815
naive_bayes_with_autoencoding,0.826875,0.8075
knn5_with_autoencoding,0.874375,0.7925
knn3_with_autoencoding,0.889375,0.785
knn5_with_no_reduction,0.855,0.765
decision_tree_with_autoencoding,1.0,0.7425
knn3_with_no_reduction,0.885625,0.7275
bagging_classifier_with_pca,1.0,0.7225
knn5_with_pca,0.869375,0.7175
knn1_with_autoencoding,1.0,0.71
gradient_boosting_with_pca,0.986875,0.7075
knn3_with_pca,0.888125,0.705
knn1_with_no_reduction,1.0,0.6925
svm_with_pca,0.989375,0.685
random_forest_with_pca,1.0,0.6775
decision_tree_with_no_reduction,1.0,0.675
naive_bayes_with_pca,0.8675,0.675
lda_with_pca,0.956875,0.655
knn1_with_pca,1.0,0.65
linear_probe_with_pca,1.0,0.635
decision_tree_with_pca,1.0,0.5825
qda_with_pca,0.999375,0.55
qda_with_no_reduction,1.0,0.5425
