,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.9975
svm_with_no_reduction,0.999375,0.9975
lda_with_no_reduction,0.999375,0.9975
linear_probe_with_autoencoding,1.0,0.99
svm_with_autoencoding,0.999375,0.99
lda_with_autoencoding,0.99375,0.9875
random_forest_with_autoencoding,1.0,0.98
qda_with_autoencoding,0.994375,0.98
random_forest_with_no_reduction,1.0,0.9775
naive_bayes_with_no_reduction,0.9775,0.9775
gradient_boosting_with_autoencoding,1.0,0.975
gradient_boosting_with_no_reduction,1.0,0.9725
naive_bayes_with_autoencoding,0.974375,0.97
gradient_boosting_with_pca,1.0,0.9675
random_forest_with_pca,1.0,0.9625
bagging_classifier_with_pca,1.0,0.9625
knn3_with_autoencoding,0.985625,0.96
knn5_with_autoencoding,0.978125,0.96
knn1_with_autoencoding,1.0,0.955
decision_tree_with_pca,1.0,0.95
svm_with_pca,1.0,0.9375
bagging_classifier_with_autoencoding,1.0,0.9375
bagging_classifier_with_no_reduction,1.0,0.915
lda_with_pca,0.999375,0.915
knn5_with_no_reduction,0.965,0.9125
linear_probe_with_pca,1.0,0.91
knn3_with_no_reduction,0.97,0.9025
decision_tree_with_autoencoding,1.0,0.9
knn1_with_no_reduction,1.0,0.8975
qda_with_no_reduction,1.0,0.8875
decision_tree_with_no_reduction,1.0,0.8575
naive_bayes_with_pca,0.845625,0.8325
knn1_with_pca,1.0,0.7825
knn5_with_pca,0.93625,0.7775
knn3_with_pca,0.94375,0.7625
qda_with_pca,1.0,0.6775
