,train_accuracy,test_accuracy
svm_with_no_reduction,0.98125,0.9125
linear_probe_with_no_reduction,1.0,0.9025
lda_with_autoencoding,0.928125,0.9025
svm_with_autoencoding,0.975,0.9
gradient_boosting_with_no_reduction,1.0,0.89
gradient_boosting_with_autoencoding,0.99125,0.8775
random_forest_with_no_reduction,1.0,0.8725
random_forest_with_autoencoding,1.0,0.8725
linear_probe_with_autoencoding,0.958125,0.87
lda_with_no_reduction,0.99375,0.8675
bagging_classifier_with_autoencoding,1.0,0.86
naive_bayes_with_no_reduction,0.85125,0.8275
bagging_classifier_with_no_reduction,1.0,0.815
naive_bayes_with_autoencoding,0.82,0.815
qda_with_autoencoding,0.993125,0.8125
knn5_with_autoencoding,0.8675,0.8
decision_tree_with_autoencoding,1.0,0.7575
knn3_with_autoencoding,0.8825,0.755
knn5_with_no_reduction,0.85875,0.755
knn5_with_pca,0.87375,0.7425
knn3_with_no_reduction,0.888125,0.7275
bagging_classifier_with_pca,0.999375,0.7225
knn1_with_no_reduction,1.0,0.7175
knn3_with_pca,0.900625,0.7175
knn1_with_autoencoding,1.0,0.715
gradient_boosting_with_pca,0.9925,0.715
random_forest_with_pca,1.0,0.71
svm_with_pca,0.98875,0.71
decision_tree_with_no_reduction,1.0,0.7075
knn1_with_pca,1.0,0.6775
lda_with_pca,0.9575,0.675
linear_probe_with_pca,1.0,0.6625
decision_tree_with_pca,1.0,0.6625
naive_bayes_with_pca,0.85375,0.645
qda_with_pca,0.99875,0.595
qda_with_no_reduction,1.0,0.5275
