,train_accuracy,test_accuracy
svm_with_no_reduction,0.98375,0.92
linear_probe_with_no_reduction,1.0,0.9025
svm_with_autoencoding,0.978125,0.9025
gradient_boosting_with_no_reduction,0.999375,0.8975
lda_with_no_reduction,0.99625,0.8975
lda_with_autoencoding,0.939375,0.89
random_forest_with_no_reduction,1.0,0.8625
gradient_boosting_with_autoencoding,0.99125,0.855
naive_bayes_with_no_reduction,0.849375,0.8425
random_forest_with_autoencoding,1.0,0.84
linear_probe_with_autoencoding,0.963125,0.84
bagging_classifier_with_autoencoding,1.0,0.8325
bagging_classifier_with_no_reduction,1.0,0.83
naive_bayes_with_autoencoding,0.825625,0.815
qda_with_autoencoding,0.995625,0.81
knn5_with_autoencoding,0.861875,0.78
knn5_with_no_reduction,0.856875,0.765
knn3_with_autoencoding,0.8825,0.755
decision_tree_with_autoencoding,1.0,0.735
knn1_with_autoencoding,1.0,0.7325
random_forest_with_pca,1.0,0.72
knn3_with_no_reduction,0.893125,0.72
knn1_with_no_reduction,1.0,0.715
gradient_boosting_with_pca,0.985625,0.715
bagging_classifier_with_pca,1.0,0.7025
decision_tree_with_no_reduction,1.0,0.6975
svm_with_pca,0.99125,0.6975
lda_with_pca,0.96375,0.6625
knn3_with_pca,0.89,0.6575
knn1_with_pca,1.0,0.655
linear_probe_with_pca,1.0,0.6525
knn5_with_pca,0.8725,0.6475
naive_bayes_with_pca,0.884375,0.6425
decision_tree_with_pca,1.0,0.635
qda_with_pca,0.999375,0.5525
qda_with_no_reduction,1.0,0.535
